name,price,description,imgurl
"Fashion Protective Face Mask Dust Cotton Mouth Washable Reusable Mask with Replacement Filter Pocket, Made in Korea (4 Packs) (White)",$29.50 ,"COTTON FACE MASK Fine Dust Blocking Cotton Mask																								 							COMFORTABLE 3-DIMENSIONAL DESIGN - The mask close to the face that covers the nose and chin																								 							ENZYME WASHING - It is a method that gently removes fine hairs on the fabric surface, and the surface becomes soft after work																								 							SIZE 19cm (Wide) x 13cm (Height) One size fits most all																								 							Each order contains 4 Masks (NO filter is included); Made in Korea South",https://images-na.ssl-images-amazon.com/images/I/31Aq14ID5xL._SS40_.jpg
"iHeartRaves Seamless Face Mask Mouth Cover Bandanas for Dust, Outdoors, Festivals, Sports",,"100% Microfiber Polyester																								 							ONE SIZE FITS MOST - iHeartRaves face mask bandanas feature a super stretchy fabric that accommodates most head sizes (adults & kids).																								 							MULTI-FUNCTIONAL DESIGN - 12+ ways to wear it - neckerchief, headband, wristband, mask, hair-band, balaclava face mask, face scarf, seamless mask, beanie, bandana, mouth mask, and more.																								 							LIGHTWEIGHT & BREATHABLE - The moisture wicking fabric transfers heat and humidity away from your body and outside of the seamless bandana, keeping you cool. The quick dry fabric technology lets your mask bandana dry in minutes, instead of hours. Wear it as a face mask to protect your face from getting burned from the sun!																								 							PERFECT ACCESSORY FOR - These festival rave masks are great for dusty music festivals, concerts, biking, raves, and outdoor sports like paintball, hiking, yoga, exercising, yard work, riding or whenever you want to live dust free!																								 							ORIGINAL DESIGNS: Seamless bandana masks exclusively designed by iHeartRaves. You won't be able to find these designs anywhere else!","https://images-na.ssl-images-amazon.com/images/I/51b2CAp6KbL._AC_SR38,50_.jpg"
Mouth Mask UPF 50+UV ProtectiveCool Ice Silk Fabric Breathable Lightweight Washable for Women Girls Outdoor Activities (4PCS),,"This fits your .             Make sure this fits                by entering your model number.            P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })																 							ANTI-DUST &SUN PROTECTION mouth mask for camping, hiking, protect your mouth and face from dust, cold, ash, pollen, allergy, fog and haze, vehicle exhaust, passive smoking.Our UV Mask is passed the UPF50 + test																								 							New design - Made of ice silk fabrics More cool. Stylish three-dimensional mask shape, it is suitable for a variety of face types.Compared with other masks, it can cover your entire face and provide full of Sun Protection.																								 							REUSABLE - The face mouth mask is durable and more economical than disposable one, lasting for long time.It is so eco-friendly and convenient for you.																								 							APPLICABLE SCENARIO - No matter for adult or kids, it will be a great fit. Ideal for cycling, camping, hiking, Travel, Outdoor, protect your mouth and face from dust, ash, pollen, allergy, haze, vehicle exhaust, passive smoking, etc																								 							OUR PROMISE: If there are any quality problems, please contact me. I will try my best to solve them for you. We are committed to providing customers with better products and services.																										                                 	                              																		›			See more product details",https://images-na.ssl-images-amazon.com/images/I/41DmQNecOFL._AC_US40_.jpg
"Reusable Filter Outdoor Masks with Respirator Valve Washable Dustmask Camouflage Outdoor Sports Masks Unisex Adult Breathable Face Masks for Pollen Allergy, Woodworking, Running, Cycling (1, Blue)",,"This fits your .             Make sure this fits                by entering your model number.            P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })																 							fabric																								 							【Helps Healthy Breathing】Our dust respirator mask designed for comfortable protection against dust and particles, effectively block 99% of the pollen,fumes, pm2.5, and other non oil based particles.																								 							【Easy To Use】Super easy to put on and take off, with elastic straps make sure good sealing effect, stay fixed and anti glasses fog, exhaust valves helps to reduce heat and moisture build up and keep breathing smoothly, this mask has a layer which can equipped with filter pad.																								 							【Light Breathable Material】The premium nylon mesh material is lightweight, breathable, soft, quick drying, which make sure the mask is comfortable to your face and mouth when wearing even in warm environment, and our dust mask is hand washable and reusable.																								 							【Usage】Our outdoor sports mask is widely used for pollen allergy, running, cycling, outdoor activities, woodworking and construction work, also good to use as mowing mask and paint mask in house improvement projects.																								 							【Washable & Reusable 】This Camouflage Outdoor Mask can be washed and reuse for multiple times. It's eco-friendly and a great gift for your families and friends.																										                                 	                              																		›			See more product details",https://images-na.ssl-images-amazon.com/images/I/41DHsUlWIcL._AC_US40_.jpg
"INTO THE AM Face Mask Mouth Cover Bandanas for Dust, Outdoors, Festivals, Sports",,"100% Microfiber Polyester																								 							ONE SIZE FITS MOST - INTO THE AM face mask bandanas feature a super stretchy fabric that accommodates most head sizes (adults & kids). Our face covers have raw edges to maximize the stretch at the ends.																								 							MULTI-FUNCTIONAL DESIGN - 12+ ways to wear it - neckerchief, headband, wristband, mask, hair-band, balaclava face mask, face scarf, seamless mask, beanie, bandana, mouth mask, and more.																								 							LIGHTWEIGHT & BREATHABLE - The moisture wicking fabric transfers heat and humidity away from your body and outside of the mouth cover, keeping you cool. The quick dry fabric technology lets your mask bandana dry in minutes, instead of hours. Wear it as a face mask to protect your face from getting burned from the sun!																								 							PERFECT ACCESSORY FOR - These festival rave masks offer full protections for dusty music festivals, concerts, biking, raves, and outdoor sports like paintball, hiking, yoga, exercising, yard work, riding or whenever you want to live dust-free!																								 							ORIGINAL DESIGNS: Our cool bandana masks exclusively designed by INTO THE AM. You won't be able to find these designs anywhere else!","https://images-na.ssl-images-amazon.com/images/I/51mgK7Ha6OL._AC_SR38,50_.jpg"
"Pack x 3 Units Environment Protective washable neoprene reusable face mask, unisex soft and comfortable. Protects mouth and nose. Anti dust, pollen droplets and much more (Men, Black)",,"This fits your .             Make sure this fits                by entering your model number.            P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })																 							Set x 3 Units, hand wash to prolong product life																								 							We just improved our mask quality by adding a stitching line for further comfort and durability. 100% brand new, made of high-quality neoprene material, cool and comfortable when wear it, can effectively block dust, smog, pollen, etc																								 							Two sizes optional: women size or men size. With elastic ear band, solid color, easy to match daily outfits																								 							Elastic and three-dimensional: tensile and soft, 3D design creates a v-shaped face curve, and keeps you look good in the crowds																								 							Great for riding, sporting, running, hiking, climbing, walking, keeping your face and mouth away from smoke, particles and harmful substances. MADE IN USA																										                                 	                              																		›			See more product details",https://images-na.ssl-images-amazon.com/images/I/413XWlv8ggL._AC_US40_.jpg
"50pcs 3-Ply Disposable Face Mask Can be Used in Offices, Households Sensitive to Pets, and Crowded Places, with Elastic Earloop Random Color (Blue White)",,"Non-woven fabric, built in high quality meltblow cloth as filter",https://images-na.ssl-images-amazon.com/images/I/41FrQYxaFvL._AC_US40_.jpg
Disposable 3-Layer Protective Earloop Face Masks,,"We will ship the same day. Please choose the item sold by A Lingerie Company. Otherwise we could not guarantee the delivery.																								 							Melt Blown Non Woven Fabric Mask, High quality masks with 3 layers protection																								 							Latex Free, Fluid Resistant, Perfect Fitting and High Breathability																								 							This Disposable masks have elastic earloop and packed in zipper package																								 							Mask with metal in nose position for better fit. Extra Soft for Maximum Comfort","https://images-na.ssl-images-amazon.com/images/I/51W9SV%2B0S3L._AC_SR38,50_.jpg"
"West Biking Mask with Filters, Breathing Dust Mouth Face Mask for Air Pollution, Replaceable Activated Carbon PM2.5 Respirator Sports Mask",,"This fits your .             Make sure this fits                by entering your model number.            P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })																 							Protection all year round: equipped with replaceable active carbon filters, five layers of filtration technology so that pure air offers you healthy breath. It is suitable for cycling, running, polishing, mowing, wood processing and other outdoor activities																								 							Zero facial discomfort: Made of the strong but lightweight breathable full mesh nylon material, the elastic fabric completely fits the face, It is washable and reusable with no peculiar smell.																								 							Designed for comfortable protection: Lightweight, humidity-resistant and latex-free																								 							The mesh dust mask shell and valves can be washed when they get dirty,the filter is replaceable																								 							【Standard Size For Comfortable】Made from soft neoprene for ultimate comfort with a fully adjustable nose strap and large Velcro headband. One size will fit most adults",https://images-na.ssl-images-amazon.com/images/I/51K%2BE9IOW0L._AC_US40_.jpg
"Fashion Protective Face Mask Dust Cotton Mouth Washable Reusable Mask with Replacement Filter Pocket, Made in Korea (4 Packs) (Cocoa Brown)",$29.50 ,"COTTON FACE MASK Fine Dust Blocking Cotton Mask																								 							COMFORTABLE 3-DIMENSIONAL DESIGN - The mask close to the face that covers the nose and chin																								 							ENZYME WASHING - It is a method that gently removes fine hairs on the fabric surface, and the surface becomes soft after work																								 							SIZE 19cm (Wide) x 13cm (Height) One size fits most all																								 							Each order contains 4 Masks (NO filter is included); Made in Korea South",https://images-na.ssl-images-amazon.com/images/I/31xLF9iq-XL._SS40_.jpg
